id,attribute,value,k,group_fairness_score
0, gender,0,1,-0.5
0, gender,0,2,-0.5
0, gender,0,3,-0.16666666666666663
0, gender,0,4,-0.25
0, gender,1,1,0.5
0, gender,1,2,0.5
0, gender,1,3,0.16666666666666669
0, gender,1,4,0.25
1, gender,0,1,-0.5
1, gender,0,2,-0.5
1, gender,0,3,-0.5
1, gender,0,4,-0.5
1, gender,1,1,0.5
1, gender,1,2,0.5
1, gender,1,3,0.5
1, gender,1,4,0.5
2, gender,0,1,-0.5
2, gender,0,2,0.0
2, gender,0,3,0.16666666666666669
2, gender,0,4,0.25
2, gender,1,1,0.5
2, gender,1,2,0.0
2, gender,1,3,-0.16666666666666663
2, gender,1,4,-0.25
3, gender,0,1,0.5
3, gender,0,2,0.0
3, gender,0,3,-0.16666666666666663
3, gender,0,4,-0.25
3, gender,1,1,-0.5
3, gender,1,2,0.0
3, gender,1,3,0.16666666666666669
3, gender,1,4,0.25
4, gender,0,1,0.5
4, gender,0,2,0.0
4, gender,0,3,0.16666666666666669
4, gender,0,4,0.25
4, gender,1,1,-0.5
4, gender,1,2,0.0
4, gender,1,3,-0.16666666666666663
4, gender,1,4,-0.25
5, gender,0,1,-0.5
5, gender,0,2,-0.5
5, gender,0,3,-0.5
5, gender,0,4,-0.25
5, gender,1,1,0.5
5, gender,1,2,0.5
5, gender,1,3,0.5
5, gender,1,4,0.25
6, gender,0,1,0.5
6, gender,0,2,0.5
6, gender,0,3,0.16666666666666669
6, gender,0,4,0.0
6, gender,1,1,-0.5
6, gender,1,2,-0.5
6, gender,1,3,-0.16666666666666663
6, gender,1,4,0.0
7, gender,0,1,0.5
7, gender,0,2,0.0
7, gender,0,3,-0.16666666666666663
7, gender,0,4,-0.25
7, gender,1,1,-0.5
7, gender,1,2,0.0
7, gender,1,3,0.16666666666666669
7, gender,1,4,0.25
8, gender,0,1,0.5
8, gender,0,2,0.5
8, gender,0,3,0.16666666666666669
8, gender,0,4,0.25
8, gender,1,1,-0.5
8, gender,1,2,-0.5
8, gender,1,3,-0.16666666666666663
8, gender,1,4,-0.25
9, gender,0,1,0.5
9, gender,0,2,0.0
9, gender,0,3,-0.16666666666666663
9, gender,0,4,-0.25
9, gender,1,1,-0.5
9, gender,1,2,0.0
9, gender,1,3,0.16666666666666669
9, gender,1,4,0.25
10, gender,0,1,0.5
10, gender,0,2,0.0
10, gender,0,3,-0.16666666666666663
10, gender,0,4,-0.25
10, gender,1,1,-0.5
10, gender,1,2,0.0
10, gender,1,3,0.16666666666666669
10, gender,1,4,0.25
11, gender,0,1,0.5
11, gender,0,2,0.0
11, gender,0,3,-0.16666666666666663
11, gender,0,4,-0.25
11, gender,1,1,-0.5
11, gender,1,2,0.0
11, gender,1,3,0.16666666666666669
11, gender,1,4,0.25
12, gender,0,1,0.5
12, gender,0,2,0.0
12, gender,0,3,-0.16666666666666663
12, gender,0,4,-0.25
12, gender,1,1,-0.5
12, gender,1,2,0.0
12, gender,1,3,0.16666666666666669
12, gender,1,4,0.25
13, gender,0,1,-0.5
13, gender,0,2,-0.5
13, gender,0,3,-0.5
13, gender,0,4,-0.5
13, gender,1,1,0.5
13, gender,1,2,0.5
13, gender,1,3,0.5
13, gender,1,4,0.5
14, gender,0,1,-0.5
14, gender,0,2,0.0
14, gender,0,3,0.16666666666666669
14, gender,0,4,0.25
14, gender,1,1,0.5
14, gender,1,2,0.0
14, gender,1,3,-0.16666666666666663
14, gender,1,4,-0.25
15, gender,0,1,-0.5
15, gender,0,2,0.0
15, gender,0,3,-0.16666666666666663
15, gender,0,4,-0.25
15, gender,1,1,0.5
15, gender,1,2,0.0
15, gender,1,3,0.16666666666666669
15, gender,1,4,0.25
16, gender,0,1,0.5
16, gender,0,2,0.0
16, gender,0,3,-0.16666666666666663
16, gender,0,4,-0.25
16, gender,1,1,-0.5
16, gender,1,2,0.0
16, gender,1,3,0.16666666666666669
16, gender,1,4,0.25
17, gender,0,1,0.5
17, gender,0,2,0.0
17, gender,0,3,-0.16666666666666663
17, gender,0,4,-0.25
17, gender,1,1,-0.5
17, gender,1,2,0.0
17, gender,1,3,0.16666666666666669
17, gender,1,4,0.25
18, gender,0,1,-0.5
18, gender,0,2,0.0
18, gender,0,3,-0.16666666666666663
18, gender,0,4,-0.25
18, gender,1,1,0.5
18, gender,1,2,0.0
18, gender,1,3,0.16666666666666669
18, gender,1,4,0.25
19, gender,0,1,-0.5
19, gender,0,2,0.0
19, gender,0,3,-0.16666666666666663
19, gender,0,4,-0.25
19, gender,1,1,0.5
19, gender,1,2,0.0
19, gender,1,3,0.16666666666666669
19, gender,1,4,0.25
20, gender,0,1,0.5
20, gender,0,2,0.5
20, gender,0,3,0.5
20, gender,0,4,0.5
20, gender,1,1,-0.5
20, gender,1,2,-0.5
20, gender,1,3,-0.5
20, gender,1,4,-0.5
21, gender,0,1,0.5
21, gender,0,2,0.5
21, gender,0,3,0.5
21, gender,0,4,0.25
21, gender,1,1,-0.5
21, gender,1,2,-0.5
21, gender,1,3,-0.5
21, gender,1,4,-0.25
22, gender,0,1,0.5
22, gender,0,2,0.0
22, gender,0,3,-0.16666666666666663
22, gender,0,4,-0.25
22, gender,1,1,-0.5
22, gender,1,2,0.0
22, gender,1,3,0.16666666666666669
22, gender,1,4,0.25
23, gender,0,1,-0.5
23, gender,0,2,-0.5
23, gender,0,3,-0.5
23, gender,0,4,-0.25
23, gender,1,1,0.5
23, gender,1,2,0.5
23, gender,1,3,0.5
23, gender,1,4,0.25
24, gender,0,1,-0.5
24, gender,0,2,0.0
24, gender,0,3,-0.16666666666666663
24, gender,0,4,-0.25
24, gender,1,1,0.5
24, gender,1,2,0.0
24, gender,1,3,0.16666666666666669
24, gender,1,4,0.25
25, gender,0,1,0.5
25, gender,0,2,0.0
25, gender,0,3,-0.16666666666666663
25, gender,0,4,-0.25
25, gender,1,1,-0.5
25, gender,1,2,0.0
25, gender,1,3,0.16666666666666669
25, gender,1,4,0.25
26, gender,0,1,0.5
