id,attribute,value,k,group_fairness_score
0, gender,0,5,-0.30000000000000004
0, gender,0,10,-0.19999999999999996
0, gender,0,20,-0.25
0, gender,0,25,-0.26
0, gender,1,5,0.3
0, gender,1,10,0.2
0, gender,1,20,0.25
0, gender,1,25,0.26
1, gender,0,5,-0.09999999999999998
1, gender,0,10,-0.09999999999999998
1, gender,0,20,-0.15000000000000002
1, gender,0,25,-0.09999999999999998
1, gender,1,5,0.09999999999999998
1, gender,1,10,0.09999999999999998
1, gender,1,20,0.15000000000000002
1, gender,1,25,0.09999999999999998
2, gender,0,5,-0.30000000000000004
2, gender,0,10,-0.09999999999999998
2, gender,0,20,0.0
2, gender,0,25,-0.06000000000000005
2, gender,1,5,0.3
2, gender,1,10,0.09999999999999998
2, gender,1,20,0.0
2, gender,1,25,0.06
3, gender,0,5,0.09999999999999998
3, gender,0,10,0.2
3, gender,0,20,-0.050000000000000044
3, gender,0,25,-0.09999999999999998
3, gender,1,5,-0.09999999999999998
3, gender,1,10,-0.19999999999999996
3, gender,1,20,0.04999999999999999
3, gender,1,25,0.09999999999999998
4, gender,0,5,-0.5
4, gender,0,10,-0.30000000000000004
4, gender,0,20,-0.19999999999999996
4, gender,0,25,-0.14
4, gender,1,5,0.5
4, gender,1,10,0.3
4, gender,1,20,0.2
4, gender,1,25,0.14
5, gender,0,5,-0.09999999999999998
5, gender,0,10,-0.09999999999999998
5, gender,0,20,-0.09999999999999998
5, gender,0,25,-0.020000000000000018
5, gender,1,5,0.09999999999999998
5, gender,1,10,0.09999999999999998
5, gender,1,20,0.09999999999999998
5, gender,1,25,0.020000000000000018
6, gender,0,5,-0.5
6, gender,0,10,-0.30000000000000004
6, gender,0,20,-0.19999999999999996
6, gender,0,25,-0.14
6, gender,1,5,0.5
6, gender,1,10,0.3
6, gender,1,20,0.2
6, gender,1,25,0.14
7, gender,0,5,-0.30000000000000004
7, gender,0,10,0.0
7, gender,0,20,-0.15000000000000002
7, gender,0,25,-0.18000000000000005
7, gender,1,5,0.3
7, gender,1,10,0.0
7, gender,1,20,0.15000000000000002
7, gender,1,25,0.18
8, gender,0,5,-0.5
8, gender,0,10,-0.30000000000000004
8, gender,0,20,-0.15000000000000002
8, gender,0,25,-0.14
8, gender,1,5,0.5
8, gender,1,10,0.3
8, gender,1,20,0.15000000000000002
8, gender,1,25,0.14
9, gender,0,5,-0.30000000000000004
9, gender,0,10,-0.30000000000000004
9, gender,0,20,-0.19999999999999996
9, gender,0,25,-0.26
9, gender,1,5,0.3
9, gender,1,10,0.3
9, gender,1,20,0.2
9, gender,1,25,0.26
10, gender,0,5,0.09999999999999998
10, gender,0,10,0.2
10, gender,0,20,0.0
10, gender,0,25,-0.09999999999999998
10, gender,1,5,-0.09999999999999998
10, gender,1,10,-0.19999999999999996
10, gender,1,20,0.0
10, gender,1,25,0.09999999999999998
11, gender,0,5,-0.5
11, gender,0,10,-0.30000000000000004
11, gender,0,20,-0.15000000000000002
11, gender,0,25,-0.14
11, gender,1,5,0.5
11, gender,1,10,0.3
11, gender,1,20,0.15000000000000002
11, gender,1,25,0.14
12, gender,0,5,-0.5
12, gender,0,10,-0.30000000000000004
12, gender,0,20,-0.15000000000000002
12, gender,0,25,-0.14
12, gender,1,5,0.5
12, gender,1,10,0.3
12, gender,1,20,0.15000000000000002
12, gender,1,25,0.14
13, gender,0,5,0.09999999999999998
13, gender,0,10,0.0
13, gender,0,20,-0.09999999999999998
13, gender,0,25,-0.14
13, gender,1,5,-0.09999999999999998
13, gender,1,10,0.0
13, gender,1,20,0.09999999999999998
13, gender,1,25,0.14
14, gender,0,5,-0.09999999999999998
14, gender,0,10,0.0
14, gender,0,20,-0.050000000000000044
14, gender,0,25,-0.09999999999999998
14, gender,1,5,0.09999999999999998
14, gender,1,10,0.0
14, gender,1,20,0.04999999999999999
14, gender,1,25,0.09999999999999998
15, gender,0,5,-0.5
15, gender,0,10,-0.30000000000000004
15, gender,0,20,-0.15000000000000002
15, gender,0,25,-0.14
15, gender,1,5,0.5
15, gender,1,10,0.3
15, gender,1,20,0.15000000000000002
15, gender,1,25,0.14
16, gender,0,5,-0.09999999999999998
16, gender,0,10,0.09999999999999998
16, gender,0,20,-0.050000000000000044
16, gender,0,25,-0.09999999999999998
16, gender,1,5,0.09999999999999998
16, gender,1,10,-0.09999999999999998
16, gender,1,20,0.04999999999999999
16, gender,1,25,0.09999999999999998
17, gender,0,5,-0.30000000000000004
17, gender,0,10,-0.09999999999999998
17, gender,0,20,-0.050000000000000044
17, gender,0,25,-0.14
17, gender,1,5,0.3
17, gender,1,10,0.09999999999999998
17, gender,1,20,0.04999999999999999
17, gender,1,25,0.14
18, gender,0,5,-0.5
18, gender,0,10,-0.30000000000000004
18, gender,0,20,-0.15000000000000002
18, gender,0,25,-0.14
18, gender,1,5,0.5
18, gender,1,10,0.3
18, gender,1,20,0.15000000000000002
18, gender,1,25,0.14
19, gender,0,5,-0.09999999999999998
19, gender,0,10,0.0
19, gender,0,20,0.04999999999999999
19, gender,0,25,-0.020000000000000018
19, gender,1,5,0.09999999999999998
19, gender,1,10,0.0
19, gender,1,20,-0.050000000000000044
19, gender,1,25,0.020000000000000018
20, gender,0,5,0.09999999999999998
20, gender,0,10,0.09999999999999998
20, gender,0,20,0.0
20, gender,0,25,-0.06000000000000005
20, gender,1,5,-0.09999999999999998
20, gender,1,10,-0.09999999999999998
20, gender,1,20,0.0
20, gender,1,25,0.06
21, gender,0,5,-0.5
21, gender,0,10,-0.4
21, gender,0,20,-0.35
21, gender,0,25,-0.26
21, gender,1,5,0.5
21, gender,1,10,0.4
21, gender,1,20,0.35
21, gender,1,25,0.26
22, gender,0,5,-0.09999999999999998
22, gender,0,10,0.09999999999999998
22, gender,0,20,-0.050000000000000044
22, gender,0,25,-0.06000000000000005
22, gender,1,5,0.09999999999999998
22, gender,1,10,-0.09999999999999998
22, gender,1,20,0.04999999999999999
22, gender,1,25,0.06
23, gender,0,5,-0.5
23, gender,0,10,-0.4
23, gender,0,20,-0.19999999999999996
23, gender,0,25,-0.18000000000000005
23, gender,1,5,0.5
23, gender,1,10,0.4
23, gender,1,20,0.2
23, gender,1,25,0.18
24, gender,0,5,-0.09999999999999998
24, gender,0,10,0.09999999999999998
24, gender,0,20,-0.09999999999999998
24, gender,0,25,-0.18000000000000005
24, gender,1,5,0.09999999999999998
24, gender,1,10,-0.09999999999999998
24, gender,1,20,0.09999999999999998
24, gender,1,25,0.18
25, gender,0,5,0.09999999999999998
25, gender,0,10,-0.19999999999999996
25, gender,0,20,-0.09999999999999998
25, gender,0,25,-0.18000000000000005
25, gender,1,5,-0.09999999999999998
25, gender,1,10,0.2
25, gender,1,20,0.09999999999999998
25, gender,1,25,0.18
26, gender,0,5,-0.5
26, gender,0,10,-0.19999999999999996
26, gender,0,20,-0.25
26, gender,0,25,-0.21999999999999997
26, gender,1,5,0.5
26, gender,1,10,0.2
26, gender,1,20,0.25
26, gender,1,25,0.21999999999999997
27, gender,0,5,-0.09999999999999998
27, gender,0,10,0.0
27, gender,0,20,-0.050000000000000044
27, gender,0,25,-0.09999999999999998
27, gender,1,5,0.09999999999999998
27, gender,1,10,0.0
27, gender,1,20,0.04999999999999999
27, gender,1,25,0.09999999999999998
28, gender,0,5,-0.5
28, gender,0,10,-0.19999999999999996
28, gender,0,20,-0.09999999999999998
28, gender,0,25,-0.18000000000000005
28, gender,1,5,0.5
28, gender,1,10,0.2
28, gender,1,20,0.09999999999999998
28, gender,1,25,0.18
29, gender,0,5,-0.09999999999999998
29, gender,0,10,0.0
29, gender,0,20,-0.15000000000000002
29, gender,0,25,-0.14
29, gender,1,5,0.09999999999999998
29, gender,1,10,0.0
29, gender,1,20,0.15000000000000002
29, gender,1,25,0.14
30, gender,0,5,-0.09999999999999998
30, gender,0,10,0.0
30, gender,0,20,-0.09999999999999998
30, gender,0,25,-0.18000000000000005
30, gender,1,5,0.09999999999999998
30, gender,1,10,0.0
30, gender,1,20,0.09999999999999998
